autumn[][0]	autumn[][1]	autumn[][2]
16	0	0
16	0	0
36	0	0
81	0	0
121	0	0
196	0	0
289	0	0
400	1	0
529	1	0
729	1	0
841	1	0
1089	4	0
1296	1	0
1521	1	0
1764	1	0
2025	1	0
2401	1	0
2704	1	0
3025	1	0
3364	4	0
3721	4	0
4096	4	0
4624	4	0
4900	9	0
5329	9	0
5776	16	0
6241	16	0
6561	25	0
7056	25	0
7396	36	0
7744	36	0
8100	36	0
8649	49	0
9025	49	0
9409	64	0
9801	64	0
10201	81	0
10609	81	0
11236	100	0
11664	100	0
12100	100	0
12544	121	0
12996	121	1
13456	144	1
14161	144	4
14641	169	4
15129	169	9
15625	196	9
16384	196	16
16900	225	16
17161	225	16
17956	225	25
18496	256	25
19044	256	25
19600	289	36
20449	289	36
21025	324	49
21609	324	49
22201	361	64
22801	361	64
23409	361	64
24336	400	81
24964	400	81
25600	441	100
26244	441	100
26896	484	100
27225	484	121
27889	529	121
28561	529	144
28561	529	144
29241	576	144
29584	576	169
30276	625	169
30625	625	196
30976	676	196
31684	676	225
32041	729	225
32761	729	225
33124	784	256
33489	784	256
33856	784	256
34596	841	289
34969	900	289
35721	961	324
36100	1024	324
36481	1089	361
37249	1225	361
37636	1296	400
38416	1369	400
38416	1444	400
39204	1521	400
39601	1600	441
40401	1681	441
40804	1764	484
41209	1849	484
42025	2025	529
42436	2116	529
43264	2209	576
43681	2304	576
44100	2401	576
44521	2500	625
45369	2601	625
45796	2704	625
46225	2809	676
46656	3025	676
47524	3136	729
47961	3249	729
48400	3364	784
48841	3364	784
49284	3600	784
49729	3721	841
50625	3844	841
51076	3969	900
51529	4096	900
51984	4356	900
52900	4489	961
53361	4624	961
53824	4761	1024
54289	4900	1024
54756	5041	1024
55225	5184	1089
56169	5329	1089
56644	5625	1156
57121	5776	1156
57600	5929	1225
58564	6084	1225
59049	6084	1225
59536	6241	1296
59536	6241	1296
60025	6400	1296
60516	6561	1369
60516	6724	1369
60516	6889	1444
60516	7056	1444
60516	7225	1521
60516	7396	1521
60516	7569	1600
60516	7744	1600
60516	7921	1600
60516	8281	1600
60516	8649	1681
60516	9025	1681
60516	9409	1764
61009	9801	1764
61009	10201	1849
61009	10609	1849
61009	11025	1936
61009	11664	2025
61009	11881	2025
61009	12321	2116
61009	12544	2209
61009	12996	2304
61504	13456	2500
61504	13689	2601
61504	13924	2704
61504	14400	2809
61504	14641	2809
61504	14884	2809
61504	15129	2916
61504	15376	2916
62001	15876	3025
62001	16129	3136
62001	16384	3136
62001	16900	3249
62001	17161	3364
62001	17689	3364
62001	17956	3481
62001	18225	3481
62001	18496	3600
62500	19044	3600
62500	19600	3721
62500	19881	3721
62500	20164	3721
62500	20736	3721
62500	21316	3721
62500	21904	3721
63001	22500	3721
63001	22801	3721
63001	23409	3721
63001	24025	3721
63001	24649	3721
63001	25281	3844
63001	25600	3844
63001	26244	3844
63001	26896	3969
63504	27556	3969
63504	28224	4096
63504	28561	4096
63504	29241	4225
63504	29929	4225
63504	30625	4356
63504	31329	4489
63504	31684	4624
64009	32400	4761
64009	33124	5041
64009	33856	5476
64009	34596	5929
64009	34969	6241
64009	35721	6889
64009	36481	7396
64009	37249	8100
64009	38025	8836
64516	38416	9409
64516	39204	10000
64516	40000	10609
64516	40804	11449
64516	41616	12100
64516	42436	12996
64516	43264	13924
64516	44100	14641
64516	44944	15625
64516	45369	16384
64516	46225	17424
64516	47089	18496
64516	47961	19321
64516	48841	20164
64516	49284	21025
64516	50176	22201
64516	51076	23409
65025	51984	24336
65025	52900	25600
65025	53361	26569
65025	54289	27889
65025	55225	29241
65025	56169	30276
65025	57121	31684
65025	57600	32761
65025	58564	34225
65025	59536	35344
65025	60516	36481
65025	61504	38025
65025	62001	39204
65025	63001	40804
65025	63504	42025
65025	64009	43681
65025	64009	45369
65025	64009	46656
65025	64516	48400
65025	64516	49729
65025	64516	51529
65025	64516	53361
65025	64516	54756
65025	64516	56169
65025	64516	57600
65025	64516	59536
65025	64516	61009
65025	64516	61504
65025	64516	62500
65025	64516	63001
65025	64516	63504
65025	64516	64009
65025	64516	64516
65025	64516	64516
65025	64516	64516
65025	65025	64516
65025	65025	64516
