blue2[][0]	blue2[][1]	blue2[][2]
0	0	0
0	0	4
0	0	25
0	1	64
0	4	121
0	9	196
1	16	289
9	25	400
9	36	484
16	49	576
16	49	676
16	64	841
36	100	1024
64	121	1225
81	144	1369
100	144	1600
121	196	1936
144	225	2209
169	256	2500
225	289	2704
225	324	2916
256	361	3136
289	441	3481
361	484	3721
441	529	4096
484	576	4489
576	676	4900
576	729	5329
576	729	5776
576	784	6241
576	784	6561
625	841	6889
676	900	7225
784	961	7569
841	1024	8100
900	1089	8649
1024	1156	9216
1156	1225	9801
1225	1296	10404
1296	1444	11025
1296	1444	11664
1296	1521	12100
1296	1600	12544
1369	1681	12996
1521	1764	13689
1600	1849	14400
1764	1936	15129
1936	2116	15876
1936	2116	16384
1936	2209	16900
2025	2304	16900
2209	2401	16900
2401	2500	16900
2601	2601	17424
2704	2704	17689
2704	2809	17689
2704	3025	17956
2809	3136	18225
2809	3136	18496
2809	3136	18496
3025	3249	19044
3136	3364	19321
3136	3600	19600
3249	3844	19881
3364	3969	19881
3721	4096	20164
3969	4225	20449
4096	4356	21025
4096	4489	21025
4096	4489	21025
4356	4624	21609
4489	4761	21904
4761	5041	22201
5041	5184	22500
5184	5329	22801
5184	5329	23104
5184	5625	23409
5329	5776	23716
5625	5929	24025
5776	5929	24336
6084	6241	24964
6241	6400	25281
6241	6400	25600
6400	6724	25921
6561	6889	26244
6724	7056	26569
7056	7225	27225
7225	7225	27556
7225	7225	27556
7225	7396	27889
7225	7569	28224
7225	7744	28561
7569	7921	28900
7921	8281	28900
8281	8464	29241
8281	8464	29584
8464	8649	29929
8649	9025	30276
8649	9216	30625
8649	9216	30976
8649	9409	31329
8836	9604	31684
9216	9801	32041
9409	10000	32400
9801	10201	32761
10000	10404	33124
10201	10816	33489
10201	11236	34225
10201	11236	34225
10404	11449	34225
10816	11881	34969
11025	12100	35344
11449	12321	35721
11664	12544	36100
11881	12769	36864
12100	12769	36864
12321	12996	37249
12769	13225	38025
12769	13225	38025
13225	13456	38416
13456	13924	38809
13689	14161	39204
13689	14161	39204
13924	14400	39601
14400	14884	40000
14641	15129	40401
15129	15376	40804
15876	15625	41616
15876	15625	41616
16129	15876	41616
16384	16129	42436
16641	16384	42849
16641	16900	43264
16641	17161	43681
16900	17424	44100
16900	17424	44100
17424	17956	44100
17956	18225	44100
17956	18225	44100
18496	18496	44100
19044	19044	44100
19321	19321	44521
19321	19600	44521
19600	19881	44944
19881	19881	45369
20164	20164	45796
20164	20449	45796
20449	21025	45796
20449	21025	45796
21025	21609	45796
21609	21904	46225
21904	22201	46225
22500	22500	46225
22801	22801	46225
23409	23409	46656
23409	23409	46656
23409	23716	47089
23409	24025	47089
23716	24336	47524
24336	24649	47524
24649	24964	47961
24649	25281	47961
24649	25600	47961
24964	25921	47961
25600	26244	47961
25921	26569	48400
26244	27225	49284
26244	27225	49284
26569	27556	49284
27556	27889	49284
27889	28224	49284
28224	28561	49729
28561	28900	49729
28900	28900	49729
29241	29241	49729
29584	29584	49729
29929	29929	50625
29929	29929	50625
30276	30276	51076
30276	30976	51076
30276	31329	51529
30625	31684	51529
30976	31684	51529
31684	32400	51529
32400	32761	51529
32761	33124	51529
33489	33489	51529
33856	33856	51529
34225	34225	51529
34969	34225	51529
35344	34969	51529
35721	35344	51529
36100	35721	51984
36100	36481	52900
36100	37249	52900
36100	37249	52900
36481	38025	53361
36481	38025	53361
36864	38416	53361
37636	38809	53361
38416	39204	53361
38809	39204	53361
39204	39601	53361
40000	40000	54289
40401	40401	54756
40804	40804	54756
40804	41209	54756
41209	41616	55225
41616	42025	55225
41616	42436	55225
42436	42849	55225
42849	43264	55225
43264	43681	55225
43681	44100	55696
44100	44944	56644
44100	44944	56644
44521	44944	56644
45369	45796	56644
46225	46225	57121
47089	46656	57121
47524	47089	57121
47961	47524	57121
47961	47961	57121
48841	48400	57121
49284	48841	57121
49284	49284	57600
49284	49729	58081
49284	50625	58564
49729	51076	58564
49729	51076	58564
50176	51076	59049
50625	51529	59049
51076	51984	59049
51984	52900	59049
52900	53824	59049
53361	54289	59049
53824	54289	59536
54756	54756	60025
55225	55225	60516
56169	56169	61009
56644	56644	61009
56644	57121	60516
56644	57121	60516
57121	58081	60516
57121	58564	61009
57600	59049	61504
58081	59049	61504
59049	60025	62001
59536	60516	62500
60516	60516	63001
61504	61504	63504
62001	62001	64009
62500	62500	64516
63001	63001	65025
63504	63504	65025
65025	65025	65025
